Sentence;True Label;"Binary
FFNN";"Binary
Naive Bayes";"Multiclass
FFNN";"Multiclass
Naive Bayes"
Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .;positive;negative;negative;positive;negative
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .;positive;negative;positive;positive;positive
Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .;negative;negative;positive;positive;positive
HELSINKI ( AFX ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .;negative;negative;positive;positive;positive
In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . '';negative;negative;positive;neutral;neutral
In the end of 2006 , the number of outlets will rise to 60-70 .;positive;negative;positive;neutral;neutral
In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .;positive;negative;positive;positive;positive
Instead , Elcoteq has signed a non-binding Letter of Intent with another Asian strategic investor .;positive;negative;positive;neutral;neutral
It is a disappointment to see the plan folded .;negative;negative;positive;positive;neutral
Jobs will not be transferred from Finland , however .;positive;negative;negative;neutral;neutral
LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .;positive;negative;positive;neutral;neutral
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .;positive;negative;positive;positive;positive
Martela said plans to expand its recycled furniture business elsewhere in Finland , too .;positive;negative;positive;positive;neutral
More than a third of the original participants dropped out due to nausea and other side effects .;negative;negative;negative;negative;neutral
National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .;negative;negative;positive;positive;neutral
Net sales have been eaten by the weak US dollar .;negative;negative;negative;neutral;negative
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .;negative;negative;negative;neutral;negative
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .;negative;negative;positive;neutral;neutral
Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .;negative;negative;positive;neutral;neutral
Passenger volumes rose by 8.4 % in the accounting period .;positive;negative;positive;positive;positive
Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .;positive;negative;positive;neutral;neutral
Possible personnel reductions concern approximately 104 people .;negative;negative;negative;negative;neutral
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .;positive;negative;positive;positive;positive
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .;negative;negative;negative;positive;neutral
"Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .";negative;negative;negative;positive;negative
Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .;negative;negative;positive;negative;positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .;positive;negative;positive;positive;positive
Small investors have voiced fears that the shares will end up with risk investors .;negative;negative;positive;neutral;neutral
Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .;positive;negative;positive;neutral;neutral
Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .;positive;negative;positive;neutral;positive
Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .;positive;negative;positive;neutral;neutral
TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .;negative;negative;negative;positive;negative
The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .;positive;negative;positive;neutral;neutral
The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .;negative;negative;negative;neutral;neutral
The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .;positive;negative;positive;positive;positive
The company also expects to sell its products in other Russian region .;positive;negative;positive;neutral;neutral
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .;negative;negative;negative;neutral;negative
The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .;negative;negative;negative;neutral;neutral
The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .;positive;negative;positive;positive;positive
The measures result from decreased demand in technical design and product information .;negative;negative;positive;negative;neutral
The measures result from weak demand in the shipbuilding industry .;negative;negative;positive;negative;positive
The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .;positive;negative;positive;positive;positive
The move is aimed at boosting sales , cost-efficiency and market share in Finland .;positive;negative;positive;positive;positive
The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .;negative;negative;negative;neutral;negative
The poorest index figure was given to Finnish power company Fortum , 4.5 .;negative;negative;positive;neutral;neutral
The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .;negative;negative;positive;positive;positive
The recent troubles simply make NETeller cheaper .;negative;negative;negative;negative;neutral
The reduction notice applied to 17 people .;negative;negative;negative;neutral;neutral
The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .;negative;negative;positive;positive;positive
The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .;positive;negative;positive;positive;positive
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .;negative;negative;negative;negative;positive
The subscriptions increase Cargotec 's share capital by 36,780 euros .;positive;negative;positive;positive;positive
The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .;positive;negative;positive;positive;positive
The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .;positive;negative;positive;positive;neutral
This bold spinning 360 red fabric design is set beautifully on Ercols Napoli sofa .;positive;negative;positive;neutral;neutral
This truly takes efficiency to new heights , '' Mr. Metso adds .;positive;negative;positive;positive;neutral
Uponor improved its performance in spite of the decrease in residential construction in the US .;positive;negative;positive;negative;positive
Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .;negative;negative;positive;neutral;neutral
We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .;negative;negative;negative;positive;negative
`` Demand for sports equipment was good in 2005 .;positive;negative;positive;positive;positive
`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .;positive;negative;positive;positive;positive
`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .;negative;negative;positive;neutral;neutral
`` Those uncertainties cloud the long-term outlook . '';negative;negative;positive;positive;positive
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .;negative;negative;positive;negative;positive
