Task_Setting;Pipeline_Configuration;Original_Sentence;Preprocessed_Text;True_Label;Predicted_Label
Multiclass;Naive Bayes (BoW | (1, 4));By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .;combine exist solution single platform comptel say reduce cost deployment;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .;return flight stuttgart every morning well even departure thursday friday sunday;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));We are now in a position to pursue novel clinical candidates going forward . '';position pursue novel clinical candidate go forward;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .;newly form yit stavo local contact network expertise market know eur stavokonsult combine yit housing concept say juha kostiainen yit vice president communication business development;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The value of this kind of order amounts usually between Euro 2 and 3 million .;value kind order amount usually eur [NUMBER] 3mn;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .;tectia tec1v provider real-time security solution announce appoint lan2lan provider service uk distribute data security manage file transfer software;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .;construction yit reduce number start-ups market-financed residential unit [DATE] [NUMBER] previously announce [NUMBER] .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The order was valued at USD12 .2 m.;order value usd [NUMBER] 2mn;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .;addition fireplace export demand line stone e ed level early continue clearly brisker remainder;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .;service firm tietoenator buck general trend hold flat [MONEY] slip back early gain;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .;dolce gabbana ask european union declare marimekko unikko floral pattern trademark invalid continue dispute [NUMBER];negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));It is a disappointment to see the plan folded .;disappointment see plan fold;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .;amending proposal simplify propose plan increase incentive key employee stay;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .;among industrial stock metso add [PERCENT] [MONEY] wartsila b down [PERCENT] [MONEY] rautaruukki k [PERCENT] low [MONEY];neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));The official opening of the office , located in Prague , will be celebrated on May 20 .;official opening office locate prague celebrate may [NUMBER] .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));He believes that the soy-oats have a good chance of entering the UK market .;believe soy-oats good chance enter uk market;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The air traffic of Finland has been in stoppage since then .;air traffic stoppage since;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Jens Schulte-Bockum , Vodafone 's global director of terminals , said the company expects to sell one to two million of the Vodafone 125 and 225 models in the first year of launch , and potentially tens of millions over the lifetime of the device .;jens schulte-bockum vodafone global director terminal say expect sell [NUMBER] 2mn vodafone [NUMBER] 225models launch potentially ten million over lifetime device;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .;[DATE] [DATE] [NUMBER] digia dig1v announce agreement mobile-phone major nok1v acquire commercial licensing service business relate qt technology;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .;margarine business put good shape last [NUMBER] make natural addition bunge look leverage position central northern european market raisio ceo matti rihko say statement;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .;[DATE] [DATE] [NUMBER] leakage gypsum pond detect talvivaara mine;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .;operating profit total eur [NUMBER] 8mn up loss eur [NUMBER] 7mn fourth [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .;thanks internet consumer compare product more previously not competitive;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));When this investment is in place , Atria plans to expand into the Moscow market .;investment place atrium plan expand moscow market;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .;oriola-kd spin-off pharmaceutical orion wholesale division;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .;budapest august 10mti electronics maker elcoteq lay [NUMBER] worker plant pecs hungary september fall order communication director elcoteq local unit zoltan krippl tell mti monday;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece .;[DATE] net profit eur 3mn pay dividend eur [NUMBER] apiece;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));The goal is significant expansion in Finland and in the northern Baltic region .;goal significant expansion northern baltic region;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .;decision sell share lenenergo reach line fortum strategic plan invest mainly generate asset russia lenenergo grid press release say;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .;metric qpr scorecard support date text milestone-based value improve support manage project around performance process-related content;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Argentine agricultural export company Calafate has tapped compatriot firm Finnegans for a software solution , the latter company said in a statement .;argentine agricultural export calafate tap compatriot firm finnegans software solution latter say statement;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Her present position is the director of Stockmann 's international department stores .;present position director stockmann international department store;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .;separately yit austrian firm e ag last week sign agreement sale e building system service business germany austria poland czech republic hungary romania eur 55mn;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .;chief executive officer olli-pekka kallasvuo change tuesday mark third time 9months reshuffle executive operation lose ground apple iphone rim blackberry;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .;combined net sale [DATE] usd 27mn ebitda usd [NUMBER] 7mn;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .;q1201018 [DATE] electrical component maker salcomp sal1v say turn net profit eur [NUMBER] 6mn [DATE] versus loss eur 2mn corresponding last;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .;tieto offer aktia good foundation required support service implement update project say juha volotinen responsible aktia web service;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .;make matter more difficult say grapple high oil gas price push up cost energy raw material transportation;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .;aldata solution sign contract supply gold system [NUMBER] french retail chain;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));As a domestic business , Best-In is already close to Finnish dog owners .;domestic business best-in already close dog owner;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .;report say operation comprise site bochum ulm dusseldorf munich frankfurt post operating profit interest [MONEY];neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Stora Enso Oyj , the largest papermaker , in October said it would close four mills .;stora enso large papermaker october say close 4mills;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Uponor improved its performance in spite of the decrease in residential construction in the US .;uponor improve performance spite decrease residential construction u;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .;danish flsmidth acknowledge violate patent hold metso;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));International operations accounted for over 80 % of net sales .;international operation account over [PERCENT] net sale;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Strand Associates is expanding its Madison corporate headquarters with space to add about 100 employees to the engineering firm .;strand associate expand madison headquarters space add [NUMBER] employee engineering firm;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .;key shareholder service provider tietoenator friday reject hostile eur [MONEY] [NUMBER] 67bn offer buyout shop nordic capital give new life possible counter offer blackstone lp norwegian telecom telenor asa;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));All other charges were dismissed .;charge dismiss;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .;mall finance parity basis pearl plaza llc joint venture establish chinese investor shanghai industrial investment holding co ltd srv;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));The goal is to secure the company 's profitability and competitiveness .;goal secure profitability competitiveness;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));`` We cut our frequency to New York last year , which explains the fall , '' he said .;cut frequency new york last explain fall say;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .;satama earn data management solution competency business intelligence specialization recentlyvia acquisition fimentor;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .;kesko food ltd press release [NUMBER] . [DATE] [NUMBER] 00kesko food ltd launch major tv campaign recruit many [NUMBER] hundred new k-food retailer;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .;report profit [MONEY] usd [NUMBER] 2mnon sale varesvuo partner sub-group loss [MONEY] usd [NUMBER] cause sale program production subsidiary filmiteollisuus fine ab;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .;profit increase eur [NUMBER] 9mn eur [NUMBER] 5mn;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));The Russian government will contribute 20 % of the necessary funds , he said .;russian government contribute [PERCENT] necessary fund say;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));`` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO .;patronage refund reward member fee-based service make positive contribution cencorp operating result say bill walby cencorp ceo;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .;net sale eur [NUMBER] 8mn [DATE] approximately [NUMBER] employee estonia poland;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .;capman say deal effect cash flow [DATE] total eur [NUMBER] 4mn but transaction not affect financial result [DATE] execute fair value;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .;mr priit kasak balti metsamasina owner say rakvere-based wish increase valmet market share [PERCENT] third couple;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .;subdivision make sale revenue last eur [MONEY] [NUMBER] 9mn [DATE] operate profit eur [MONEY] [NUMBER] 4mn;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam .;seminar introduce modern clean technology product financial tool sponsorship program energy environment project well potential develop clean energy vietnam;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .;kesko stock exchange release [NUMBER] . [DATE] [NUMBER] [NUMBER] kesko aspo plc sign agreement aspo acquire share capital kauko-telko ltd subsidiary wholly kesko;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Vaahto , which has entered the deal via its subsidiary Vaahto Pulp & Paper Machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011 .;vaahto enter deal via subsidiary vaahto pulp paper machinery supply [NUMBER] unit [DATE] remain one expect delivery beginning [DATE] .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex .;salo [DATE] [DATE] [NUMBER] benefon announce plan strengthen in-house technology platform license complete mobile software platform opna long-standing technology partner pollex;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+�nsi-Kalkkuna to produce turkey meat .;food industry hk ruokatalo atrium form joint venture call l nsi-kalkkuna produce turkey meat;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .;metsaliitto however narrow net loss second [DATE] [MONEY] usd [NUMBER] 9mn [MONEY] usd [NUMBER] 7mn ago;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said .;via agreement ramirent expand range equipment service deliver destia ramirent manage director kari aulasmaa say;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .;sweden gallerix accumulate eur denominate sale down [PERCENT] eur denominate sale up [PERCENT];neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));Export declined by 6 percent to 16.4 million liters .;export decline [PERCENT] [NUMBER] 4mn liter;negative;positive
Multiclass;Naive Bayes (BoW | (1, 4));- The Group -� s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .;cumulative sale review eur [MONEY] [NUMBER] 1mn [NUMBER] [NUMBER] / [DATE] profit tax eur [NUMBER] .4mn;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));Prices and delivery volumes of broadband products decreased significantly in 2005 .;price delivery volume broadband product decrease significantly [DATE] .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 4));Kiosk and cinema operations have suffered , in particular .;kiosk cinema operation suffer particular;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .;cash flow business operation total eur [NUMBER] 4mn compare negative eur [NUMBER] 5mn half [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .;q22010 consolidated earnings tax total eur [NUMBER] 5mn compare eur [NUMBER] 9mn net profit eur [NUMBER] 2mn compare eur [NUMBER] 9mn previous;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .;net sale healthcare trade business [DATE] eur [MONEY] [NUMBER] 2mn operating profit eur [MONEY] [NUMBER] 9mn;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .;total annual revenue come up 160mn zloty usd [NUMBER] 9mn- [MONEY];neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .;combine renew content functionality current system funding online service well maintenance;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The reduction notice applied to 17 people .;reduction notice apply [NUMBER] people;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .;succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The total project duration is three years and it is valued at some EUR11 .5 m.;total project duration [NUMBER] value eur [NUMBER] 5mn;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .;consolidated operating profit exclude [NUMBER] -off item eur [NUMBER] 6mn up eur [NUMBER] 6mn earlier;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .;world second large stainless steel maker say net profit [NUMBER] -month dec31 surge eur [MONEY] 781mn eur [MONEY] [NUMBER] share eur 172mn eur [NUMBER] share previous;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .;profit tax eur [NUMBER] 1mn compare eur [NUMBER] 4mn previous;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));In addition , a good biological durability is achieved . '';addition good biological durability achieve;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+�meri , the Northernmost part of the Gulf of Bothnia .;swedish authority trace toxic osmium tetroxide find coast meri northernmost gulf bothnia;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . '';speak just-drinks spokesperson olvi say perform well [NUMBER] country operate namely estonia latvia lithuania;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .;eb announce stock exchange release november [NUMBER] jt bergqvist resign chairmanship membership board eb;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .;m-real press release [NUMBER] november [TIME] m-real second best material sector eg forest industry carbon disclosure leadership index cdli nordic report [DATE] .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .;price kesko share [MONEY] usd [NUMBER] 5mn recognize gain [MONEY] usd [NUMBER] 2mn disposal result second [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));` This order is included in Wartsila 's order book in the second quarter , ' the company added .;order wartsila order book second add;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .;component supplier componenta cth1v report tuesday [NUMBER] july operating profit eur [NUMBER] 2mn net sale eur [NUMBER] 0mn financial [DATE] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .;operating profit grain trading increase eur [NUMBER] 0mn eur [NUMBER] 4mn [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Delivery is due in the second half of 2011 .;delivery due second half [DATE] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));As a result , the number of personnel in Finland will be reduced by 158 .;result number personnel reduce [NUMBER] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .;price raw material aluminium go up [DATE] but consider outlook [DATE] favourable;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The compnay also said that it would lower the price of development projects by about one third compared with last November .;compnay say lower price development project [NUMBER] third compare last november;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .;borrower happy roadshow pay hit ratio high;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));The company 's profit totaled Ls 134,700 .;profit total ls [NUMBER] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));In 2010 , the Marimekko Group s net sales were EUR 73,297 thousand ( EUR 72,473 thousand ) and operating profit was EUR 8,169 thousand ( EUR 6,291 thousand ) .;[DATE] marimekko net sale eur [NUMBER] thousand eur [NUMBER] thousand operating profit eur [NUMBER] thousand eur [NUMBER] thousand;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 4));DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -� 2006 Digitalmediaasia.com & DMA Ltd. .;dmasia- [DATE] [DATE] [NUMBER] -benefon extend manufacture capability asmobile [DATE] digitalmediaasiacom dma ltd;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .;estonian telecom elisa customer number cross [NUMBER] tallinn oct [NUMBER] bns estonian telecommunication elisa win approximately [NUMBER] new client 9months bring number [NUMBER] september say;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .;kemira ceo lasse kurkilahti say structural reorganisation continue least;neutral;positive
