Sentence;True Label;FFNN;Naive Bayes
EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .;neutral;neutral;negative
EUR 152.4 mn of this was net interest income .;neutral;neutral;positive
Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .;neutral;neutral;negative
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .;positive;positive;neutral
Electricity consumption grows with higher frequencies .;neutral;positive;neutral
Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .;positive;positive;neutral
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .;negative;negative;positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .;positive;positive;neutral
FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .;neutral;positive;neutral
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .;positive;positive;neutral
Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .;negative;negative;neutral
Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .;positive;positive;neutral
Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .;positive;positive;neutral
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .;positive;positive;neutral
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .;positive;positive;neutral
Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .;positive;positive;neutral
Finnish Nordic Aluminium is starting employer-employee negotiations in Finland that concern all staff groups .;neutral;negative;neutral
Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .;negative;negative;neutral
Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .;positive;positive;neutral
Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .;positive;positive;neutral
Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .;positive;positive;neutral
Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .;neutral;positive;neutral
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .;neutral;neutral;negative
Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .;positive;positive;neutral
Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .;neutral;neutral;positive
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .;negative;positive;neutral
Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .;positive;positive;negative
Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+�cs , where the company has two plants .;positive;positive;neutral
Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .;neutral;negative;neutral
For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece .;neutral;neutral;positive
HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .;positive;positive;neutral
In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .;neutral;positive;neutral
In addition , the contract includes modification of the effluent treatment plant at Follum .;neutral;positive;neutral
In addition the deal includes a call option which will enable Maritim Food AS to increase its holding in Sandanger AS to 51 % in the future .;positive;positive;neutral
In addition to Russia , we now seek additional growth in Ukraine .;positive;positive;neutral
In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .;neutral;positive;neutral
In his current position , Manty has worked since 1996 .;neutral;positive;neutral
In parallel , TeliaSonera has decided to conduct a compulsory acquisition .;neutral;positive;neutral
In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .;positive;positive;neutral
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .;neutral;positive;neutral
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .;neutral;neutral;positive
It grew in Finland , Norway , Denmark and the Baltic countries .;neutral;positive;neutral
It is a disappointment to see the plan folded .;negative;positive;neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .;neutral;positive;negative
It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .;positive;positive;neutral
Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .;positive;positive;neutral
Its market share widened to 48.51 percent from 48.31 percent a year earlier .;positive;negative;positive
Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .;neutral;neutral;positive
Kemira 's partner in the project is St. Petersburg Water Works .;neutral;positive;neutral
Kemira will supply the additional volumes of iron coagulants from the company 's plant at Helsingborg , Sweden .;neutral;positive;neutral
Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .;neutral;positive;neutral
Less than ten people will face pension agreements .;neutral;negative;neutral
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .;positive;positive;negative
Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .;neutral;neutral;positive
Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .;neutral;positive;neutral
Martela said plans to expand its recycled furniture business elsewhere in Finland , too .;positive;positive;neutral
Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .;positive;positive;neutral
Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe .;neutral;neutral;positive
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .;neutral;positive;neutral
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .;positive;negative;neutral
More than a third of the original participants dropped out due to nausea and other side effects .;negative;negative;neutral
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .;neutral;positive;neutral
Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .;positive;positive;neutral
National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .;negative;positive;neutral
Net profit was 35.5 mln compared with 29.8 mln .;positive;positive;negative
Net sales have been eaten by the weak US dollar .;negative;neutral;negative
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .;negative;neutral;negative
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .;neutral;neutral;positive
Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .;positive;positive;negative
Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .;positive;positive;negative
Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .;positive;neutral;positive
Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .;positive;positive;neutral
Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .;neutral;positive;neutral
Pohjola could increase its stake to 45 % in 2013 .;neutral;positive;neutral
Possible personnel reductions concern approximately 104 people .;negative;negative;neutral
Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .;positive;positive;negative
Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .;positive;positive;negative
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .;positive;positive;neutral
Profit of the accounting period was EUR 0.3 mn .;neutral;positive;negative
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .;negative;positive;neutral
Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .;positive;neutral;positive
"Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .";negative;positive;negative
Return on capital employed rose by 4.8 percentage points to 19.6 % .;positive;positive;negative
Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .;neutral;positive;neutral
Rosen was cautious about being too optimistic inregard to the second half of the year .;neutral;positive;negative
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .;neutral;positive;neutral
Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .;positive;positive;negative
Sales fell abroad but increased in Finland .;neutral;positive;negative
Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .;positive;positive;neutral
Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .;negative;negative;positive
Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .;positive;neutral;positive
Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .;neutral;positive;neutral
Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia .;neutral;positive;neutral
TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .;negative;positive;negative
Temporary layoffs in these units have already started .;neutral;negative;neutral
The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .;neutral;neutral;positive
The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy .;neutral;positive;neutral
The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .;neutral;positive;neutral
The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .;neutral;positive;neutral
The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .;neutral;positive;neutral
The agreement includes application maintenance and support services .;neutral;positive;neutral
The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .;positive;positive;neutral
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .;neutral;positive;neutral
The aim is to develop open-source application solutions .;neutral;positive;neutral
The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 .;neutral;positive;neutral
The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .;neutral;neutral;positive
The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .;positive;positive;neutral
The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .;neutral;positive;neutral
The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .;neutral;positive;neutral
The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .;neutral;neutral;negative
The company admits that 36 months is a relatively short time when operating in Russia .;neutral;neutral;positive
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .;neutral;positive;neutral
The company expects its net sales in the first half of 2008 to reach the previous year 's level .;positive;positive;negative
The company has a wide selection of metal products and services .;neutral;positive;neutral
The company has committed to further expanding the Apollo portfolio .;positive;positive;neutral
The company intends to raise production capacity in 2006 .;positive;positive;neutral
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .;negative;neutral;negative
The company will also shut one paper machine in Finland and one in Austria , as well as two label paper machines in Finland for up to 10 months , Helsinki-based UPM said yesterday .;neutral;positive;neutral
The competition was received with great enthusiasm by the employees , he goes on .;positive;positive;neutral
The compnay also said that it would lower the price of development projects by about one third compared with last November .;neutral;negative;positive
The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .;positive;positive;neutral
The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .;neutral;neutral;positive
The contract has been allotted as per lowest price criteria .;neutral;neutral;negative
The deal also includes a ten-year maintenance agreement .;neutral;neutral;positive
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .;neutral;neutral;negative
The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .;neutral;neutral;positive
The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .;neutral;negative;neutral
The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .;positive;positive;neutral
The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .;neutral;positive;neutral
The expanded company will continue to be called NewPage .;neutral;positive;neutral
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .;neutral;negative;positive
The forecast for 2012 is 3.3 % .;neutral;positive;negative
The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .;neutral;positive;neutral
The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .;neutral;neutral;positive
The measures result from decreased demand in technical design and product information .;negative;negative;neutral
The measures result from weak demand in the shipbuilding industry .;negative;negative;positive
The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % .;positive;positive;neutral
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .;neutral;neutral;positive
The new company will buy from Baltic Pearl CJSC a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft .;neutral;positive;neutral
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .;positive;positive;neutral
The order consists of capacity expansion , maintenance services and new charging functionality , the company said .;neutral;positive;neutral
The orders are part of a long-term development plan of Latvijas Finieris .;neutral;positive;neutral
The ore body is sufficient to support anticipated production for at least 46 years .;neutral;positive;neutral
The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .;negative;neutral;negative
The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi , southern Finland .;neutral;positive;neutral
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .;neutral;neutral;positive
The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .;positive;positive;neutral
The recent troubles simply make NETeller cheaper .;negative;negative;neutral
The remaining amount will be funded through debt , the Danish bank said .;neutral;positive;neutral
The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .;neutral;neutral;positive
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .;negative;negative;positive
The solution will be installed in the USA to support the North American operations of the customer .;neutral;positive;neutral
The talks are aimed at restructuring operations and cutting costs .;positive;positive;neutral
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .;neutral;neutral;positive
The transaction is subject to a final agreement between the parties , approvals of their decision-making bodies and approval by the Finnish Competition Authority .;neutral;positive;neutral
The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .;positive;positive;neutral
The winners included the Honda Odyssey for minivan and the Nissan Armada for large SUV .;neutral;neutral;negative
This could be any of us at any time , '' she said .;neutral;positive;neutral
This truly takes efficiency to new heights , '' Mr. Metso adds .;positive;positive;neutral
This will be done domestically and in neighboring markets , both organically and through acquisitions .;neutral;positive;neutral
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .";positive;positive;neutral
To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .;neutral;positive;neutral
Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers .;neutral;positive;neutral
Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .;positive;positive;neutral
Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .;neutral;positive;neutral
Uponor improved its performance in spite of the decrease in residential construction in the US .;positive;negative;positive
Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .;positive;positive;neutral
Vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said Olli Teva , marketing director renewable energy applications .;neutral;positive;neutral
Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .;neutral;positive;neutral
Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .;neutral;positive;neutral
We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .;negative;positive;negative
We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .;neutral;negative;neutral
What we think ?;neutral;neutral;negative
When cruising , the revs fall as less engine output is required .;neutral;negative;neutral
Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .;positive;positive;neutral
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .;neutral;positive;neutral
` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .;positive;positive;neutral
`` I warmly welcome Michael Frei to Outotec .;positive;neutral;positive
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .;positive;positive;neutral
`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .;neutral;neutral;positive
hu will offer a further discount of between 25 % and 50 % on selected books .;neutral;neutral;positive
says Brian Burton , Head of IT Security , Vodafone UK .;neutral;positive;neutral
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .;negative;negative;positive
wins 98 % acceptance 23 December 2009 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will complete its takeover offer for textile company Tamfelt Oyj Abp ( HEL : TAFKS ) , after acquiring 98 % of its shares and votes .;neutral;positive;neutral
