"";"sentence";"sentiment";"prep_standard";"prep_full";"prep_masked"
29;"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .";2;"operating profit three month increase eur1 2 revenue increase eur20 2 compare corresponding 2005";"operating profit 3-month increase eur1.2m revenue increase eur20.2m compare corresponding 2005";"operating profit [NUMBER] -month increase [MONEY] [MEASUREMENT] revenue increase [MONEY] [MEASUREMENT] compare corresponding [DATE]"
30;"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+�o , as saying .";2;"brazilian unit security solution provider f secure sign up 1 500 new client last online news source reseller web quote division commercial director vladimir brand say";"brazilian unit security solution provider f-secure sign up 1500 new client last online news source reseller web quote division commercial director vladimir brand say";"brazilian unit security solution provider f-secure sign up [NUMBER] new client last online news source reseller web quote division commercial director vladimir brand say"
31;"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .";2;"net profit rise 11 4 82 2 million euro 2005 sale 686 5 million euro 13 8 up say early";"net profit rise 11.4pct eur82.2mn 2005 sale eur686.5mn 13.8pct up say early";"net profit rise [PERCENT] [MONEY] [DATE] sale [MONEY] [PERCENT] up say early"
32;"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .";2;"lithuanian beer market make up 14 41 million liter january rise 0 8 percent earlier figure lithuanian brewer association report cite result member";"lithuanian beer market make up 14.41mn liter january rise 0.8pct year-earlier figure lithuanian brewer association reporting cite result member";"lithuanian beer market make up [NUMBER] 41mn liter january rise [PERCENT] year-earlier figure lithuanian brewer association reporting cite result member"
33;"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .";2;"viking line cargo revenue increase 5 4 eur 21 46 mn cargo volume increase 2 4 70 116 cargo unit";"viking line cargo revenue increase 5.4pct eur21.46mn cargo volume increase 2.4pct 70116 cargo unit";"viking line cargo revenue increase [PERCENT] [MONEY] cargo volume increase [PERCENT] [NUMBER] cargo unit"
34;"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .";2;"fair value property portfolio double result kapiteeli acquisition total eur 2 686 2 1 259 7 million";"fair value property portfolio double result kapiteeli acquisition total eur2686.21259.7mn";"fair value property portfolio double result kapiteeli acquisition total [MONEY] .7mn"
35;"10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .";2;"10 february 2011 medium sanoma saa1v say yesterday 2010 net profit almost triple eur297 3 eur107 1 2009 announce proposal raise payout";"2011-2002-10 medium sanoma saa1v say yesterday 2010 net profit almost triple eur297.3m eur107.1m 2009 announce proposal raise payout";"[DATE] [DATE] [NUMBER] medium sanoma saa1v say yesterday [DATE] net profit almost triple [MONEY] [MEASUREMENT] [MONEY] [MEASUREMENT] [DATE] announce proposal raise payout"
36;"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .";2;"eliiv report eps eur1 13 2009 increase over eps eur1 12 2008";"eliiv report eps eur1.13 2009 increase over eps eur1.12 2008";"eliiv report eps [MONEY] [DATE] increase over eps [MONEY] [DATE]"
37;"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .";2;"aspo plc stock exchange release february 11 2011 at8 45 esl ship ltd aspo sign new long term contract rautaruukki marine transport raw material baltic sea";"aspo plc stock exchange release 2011-2002-11 at8.45 esl shipping ltd aspo sign new long-term contract rautaruukki marine transport raw material baltic sea";"aspo plc stock exchange release [DATE] [DATE] [NUMBER] at8. [NUMBER] esl shipping ltd aspo sign new long-term contract rautaruukki marine transport raw material baltic sea"
38;"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .";2;"commission income increase 22 eur 4 4 mn lending volume rise 13 5";"commission income increase 22pct eur4.4mn lending volume rise 13.5pct";"commission income increase [PERCENT] [MONEY] lending volume rise [PERCENT]"
39;"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .";2;"january traffic measure revenue passenger kilometres rpk go up 3 2 capacity measure available seat kilometre ask rise 12 2";"january traffic measure revenue passenger kilometres rpk go up 3.2pct capacity measure available seat kilometre ask rise 12.2pct";"january traffic measure revenue passenger kilometres rpk go up [PERCENT] capacity measure available seat kilometre ask rise [PERCENT]"
40;"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .";2;"january september 2010 fiskars net profit go up 14 eur 65 4 million net sale eur 525 3 million eur 487 7 million";"2010:01:09 fiskars net profit go up 14pct year-on-year eur65.4mn net sale eur525.3mn eur487.7mn";"[DATE] fiskars net profit go up [PERCENT] year-on-year [MONEY] net sale [MONEY] [MONEY]"
41;"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .";2;"net income life insurance rise eur 16 5 mn eur 14 0 mn net income non life insurance eur 22 6 mn eur 15 2 mn 2009";"net income life insurance rise eur16.5mn eur14.0mn net income non-life insurance eur22.6mn eur15.2mn 2009";"net income life insurance rise [MONEY] [MONEY] net income non-life insurance [MONEY] [MONEY] [DATE]"
42;"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .";2;"nyrstar agree supply talvivaara up 150 000 tonne sulphuric acid annum talvivaara leach process supply zinc concentrate";"nyrstar agree supply talvivaara up 150000 tonne sulphuric acid annum talvivaara leach process supply zinc concentrate";"nyrstar agree supply talvivaara up [NUMBER] tonne sulphuric acid annum talvivaara leach process supply zinc concentrate"
43;"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .";2;"sale department store division hobby hall increase 7 sale clothing store subsidiary seppala decrease 4";"sale department store division hobby hall increase 7pct sale clothing store subsidiary seppala decrease 4pct";"sale department store division hobby hall increase [PERCENT] sale clothing store subsidiary seppala decrease [PERCENT]"
44;"Sales have risen in other export markets .";2;"sale rise export market";"sale rise export market";"sale rise export market"
45;"Sales increased due to growing market rates and increased operations .";2;"sale increase due grow market rate increase operation";"sale increase due grow market rate increase operation";"sale increase due grow market rate increase operation"
46;"The agreement strengthens our long-term partnership with Nokia Siemens Networks .";2;"agreement strengthen long term partnership siemens network";"agreement strengthen long-term partnership siemens network";"agreement strengthen long-term partnership siemens network"
47;"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .";2;"agreement sign biohit healthcare ltd uk subsidiary biohit public develop manufacture market liquid handle product diagnostic test system";"agreement sign biohit healthcare ltd uk-based subsidiary biohit public develop manufacture market liquid handle product diagnostic test system";"agreement sign biohit healthcare ltd uk-based subsidiary biohit public develop manufacture market liquid handle product diagnostic test system"
48;"The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .";2;"estimate already carry investment lead increase net sale 2010 2009 reach eur 141 7 million";"estimate already carry investment lead increase net sale 2010 2009 reach eur141.7mn";"estimate already carry investment lead increase net sale [DATE] [DATE] reach [MONEY]"
49;"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .";2;"order book stand 1 5 bln euro 2 2 bln september 30 2007 up 24 2 pct international order amount 365 mln euro 534 3 mln";"order book stand 1.5 bln eur usd2.2 bln 2007-2009-30 up 24.2pct international order amount eur365mn usd534.3mn";"order book stand [NUMBER] bln eur [MONEY] bln [DATE] [DATE] [NUMBER] up [PERCENT] international order amount [MONEY] [MONEY]"
50;"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .";2;"say paper demand increase main market publication paper increase average paper price 4 percent compare last";"say paper demand increase main market publication paper increase average paper price 4pct compare last";"say paper demand increase main market publication paper increase average paper price [PERCENT] compare last"
51;"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .";2;"world second large stainless steel maker say net profit three month dec 31 surge euro603 million u 781 million euro3 33 u 4 31 share euro172 million euro0 94 share previous";"world second large stainless steel maker say net profit 3-month dec31 surge euro603million ususd781mn euro3.33 ususd4.31 share euro172million euro0.94 share previous";"world second large stainless steel maker say net profit [NUMBER] -month dec31 surge euro603million ususd781mn euro3. [NUMBER] ususd4. [NUMBER] share euro172million euro0. [NUMBER] share previous"
52;"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .";2;"within framework partnership siemens network sign initial framework purchase agreement sitronics subsidiary jsc mikron large manufacturer exporter microelectronic component russia";"within framework partnership siemens network sign initial framework purchase agreement sitronics subsidiary jsc mikron large manufacturer exporter microelectronic component russia";"within framework partnership siemens network sign initial framework purchase agreement sitronics subsidiary jsc mikron large manufacturer exporter microelectronic component russia"
53;"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .";2;"seppala revenue increase 0 2 eur10 1 revenue go down 2 4 eur6 8 sale abroad rise 6 2 eur3 3 sale increase baltic country well russia ukraine";"seppala revenue increase 0.2pct eur10.1m revenue go down 2.4pct eur6.8m sale abroad rise 6.2pct eur3.3m sale increase baltic country well russia ukraine";"seppala revenue increase [PERCENT] [MONEY] [MEASUREMENT] revenue go down [PERCENT] [MONEY] [MEASUREMENT] sale abroad rise [PERCENT] [MONEY] [MEASUREMENT] sale increase baltic country well russia ukraine"
54;"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .";2;"share standard charter stan rise 1 2 ftse 100 royal bank scotland rb share rise 2 barclays share barc bcs up 1 7";"share standard charter stan rise 1.2pct ftse 100 royal bank scotland rb share rise 2pct barclays share barc bcs up 1.7pct";"share standard charter stan rise [PERCENT] ftse [NUMBER] royal bank scotland rb share rise [PERCENT] barclays share barc bcs up [PERCENT]"
55;"Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .";2;"share corp rise thursday cell phone maker say third earnings almost double share global handset market increase";"share corp rise thursday cell phone maker say third-quarter earnings almost double share global handset market increase";"share corp rise thursday cell phone maker say third-quarter earnings almost double share global handset market increase"
56;"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .";2;"financial report publish friday seb say net profit soar sek6 745 bn 2010 earlier sek1 114 bn propose 50 dividend increase sek1 50 share";"financial report publish friday seb say net profit soar sek6.745bn 2010 year-earlier sek1.114bn propose 50pct dividend increase sek1.50 share";"financial report publish friday seb say net profit soar [MONEY] [DATE] year-earlier [MONEY] propose [PERCENT] dividend increase [MONEY] share"
57;"Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .";2;"sale department store division increase 15 sale clothing store subsidiary seppala increase 8 meanwhile sale hobby hall decrease 12";"sale department store division increase 15pct sale clothing store subsidiary seppala increase 8pct meanwhile sale hobby hall decrease 12pct";"sale department store division increase [PERCENT] sale clothing store subsidiary seppala increase [PERCENT] meanwhile sale hobby hall decrease [PERCENT]"
58;"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .";1;"request medium alma medium newspaper research manager jari kaivo oja future research centre turku school economics draw up future scenario national economy model develop university denver";"request medium alma medium newspaper research manager jari kaivo-oja future research centre turku school economics draw up future scenario national economy model develop university denver";"request medium alma medium newspaper research manager jari kaivo-oja future research centre turku school economics draw up future scenario national economy model develop university denver"
59;"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .";1;"sweden gallerix accumulate sek denominated sale down 1 eur denominate sale up 11";"sweden gallerix accumulate eur denominate sale down 1pct eur denominate sale up 11pct";"sweden gallerix accumulate eur denominate sale down [PERCENT] eur denominate sale up [PERCENT]"
60;"The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .";1;"support global customer develop new technology offer fast route product development application volume production";"support global customer develop new technology offer fast route product development application volume production";"support global customer develop new technology offer fast route product development application volume production"
61;"When this investment is in place , Atria plans to expand into the Moscow market .";1;"investment place atrium plan expand moscow market";"investment place atrium plan expand moscow market";"investment place atrium plan expand moscow market"
62;"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .";1;"new agreement continuation theagreement sign earlier lemminkainen whereby cramo acquire entire construction machine fleet oflemminkainen talo ita ja pohjois suomo sign asimilar agreement say tatu hauhio manage director ofcramo";"new agreement continuation theagreement sign earlier lemminkainen whereby cramo acquire entire construction machine fleet oflemminkainen talo ita ja pohjois suomo sign asimilar agreement say tatu hauhio manage director ofcramo";"new agreement continuation theagreement sign earlier lemminkainen whereby cramo acquire entire construction machine fleet oflemminkainen talo ita ja pohjois suomo sign asimilar agreement say tatu hauhio manage director ofcramo"
63;"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .";2;"contract envisage construction three ferryboat option two more unit far confirm total value 500 mln euro 645 8 mln";"contract envisage construction 3 ferryboat option 2more unit far confirm total value eur500mn usd645.8mn";"contract envisage construction [NUMBER] ferryboat option 2more unit far confirm total value [MONEY] [MONEY]"
64;"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .";1;"june sell 30 percent stake nordstjernan investment take up option acquire eqt remain share";"june sell 30pct stake nordstjernan investment take up option acquire eqt remain share";"june sell [PERCENT] stake nordstjernan investment take up option acquire eqt remain share"
