Task_Setting;Pipeline_Configuration;Original_Sentence;Preprocessed_Text;True_Label;Predicted_Label
Multiclass;Naive Bayes (BoW | (1, 3));2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .;[NUMBER] [DATE] steel maker rautaruukki : rtrks , ruukki , say turn net profit [MONEY] second [DATE] net loss [MONEY] corresponding last .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .;cargo traffic fell [PERCENT] year-on-year [NUMBER] tonne [DATE] .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .;[NUMBER] partner develop raiso cholesterol lower brand , benecol .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .;vauramo , plant lifting equipment suitable asian chinese truck .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .;financial report , publish friday , seb say net profit soar [MONEY] [DATE] year-earlier [MONEY] propose [PERCENT] dividend increase [MONEY] share .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .;divestment raisio margarine business [DATE] :05gave clearer focus grain-based product .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .;sweden , gallerix accumulate eur denominate sale down [PERCENT] eur denominate sale up [PERCENT] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .;fair value investment property [MONEY] ( [NUMBER] ) million .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .;earnings share high [NUMBER] [NUMBER] ahead market consensus [MONEY] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .;board director propose dividend [MONEY] share [DATE] , up [MONEY] share pay [DATE] .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));GSK announced in November 2008 that it would close its operations in Dartford .;gsk announce [DATE] close operation dartford .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));In beers , Olvi retained its market position .;beer , olvi retain market position .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));International operations accounted for over 80 % of net sales .;international operation account over [PERCENT] net sale .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The original name Componenta +�m+�l , as a subsidiary of the Finnish Componenta Group , has been changed to +�m+�l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .;original name componenta + m+ l , subsidiary componenta , change + m+ l component see [PERCENT] growth q12010 , comparison q12009.;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Stora Enso Oyj , the largest papermaker , in October said it would close four mills .;stora enso , large papermaker , october say close 4mills .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .;net sale [DATE] total [MONEY] operating margin [PERCENT] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .;[NUMBER] -month sale ragutis , control brewery olvi , decline [PERCENT] , [NUMBER] 41mn liter , hold [PERCENT] market .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .;teleste , acquisition mark entry service business market long establish significant supplier product .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .;agreement sign biohit healthcare ltd , uk-based subsidiary biohit , public develop , manufacture market liquid handle product diagnostic test system .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .;say poland profitability program launch oborniki steel frame sandwich panel plant .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .;aspo strong brand esl shipping , leipurin , telko kaukomarkkinat aim market leader sector .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The total emissions reduction from 1999 to 2017 will be thus 41 % .;total emission reduction [DATE] [DATE] thus [PERCENT] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));India is high on our priority since business links between our two countries is also expanding , '' Tornstrom said .;india high priority since business link [NUMBER] country expand , tornstrom say .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes .;`` qpr [NUMBER] integrate management system fast , easy efficient way organization around world take control human-centric business process .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .;[DATE] [DATE] [NUMBER] medium sanoma : saa1v say yesterday [DATE] net profit almost triple [MONEY] [MONEY] [DATE] announce proposal raise payout .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .;chief executive officer olli-pekka kallasvuo change tuesday mark third time 9months reshuffle executive operation lose ground apple iphone rim blackberry .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .;last sysopen digia invest ibm product know-how building portal trading place system successfully implement customer solution support .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .;danish flsmidth acknowledge violate patent hold metso .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));As a result , the number of personnel in Finland will be reduced by 158 .;result , number personnel reduce [NUMBER] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The contract value amounts to EUR 2.4 million .;contract value amount [MONEY] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .;earnings comparative capital gain [MONEY] sale share .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .;cdli highlight comprehensive response carbon disclosure project cdp information request .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .;government exempt certain stainless steel product anti-dumping duty , finland-based outokumpu say look enter supply pact indian railway soon .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));Gearing was 43 % compared to 67 % in 2004 .;gearing [PERCENT] compare [PERCENT] [DATE] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .;self-service automation big role fujitsu global resource exploit effectively .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .;sale down [PERCENT] up [PERCENT] abroad sale lift strong growth sale russia lithuania .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .;mn , pretax profit [MONEY] [MONEY] third [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .;loss tax amount [MONEY] compare loss [NUMBER] 6mn .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));`` They 've already allocated money for the inventory .;`` already allocate money inventory .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));By cutting the number of plants , the group will trim fixed costs .;cut number plant , trim fixed cost .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The air traffic of Finland has been in stoppage since then .;air traffic stoppage since .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));It will report full-year results on August 22 .;report full-year result august [NUMBER] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));A CUT ABOVE Bring the outdoors in with these birch-branch coasters .;cut bring outdoors birch-branch coaster .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .;profit tax [MONEY] , compare eur- [NUMBER] 4mn previous .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .;[DATE] [DATE] [NUMBER] ephc board director approve increase quarterly dividend [MONEY] [MONEY] share .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The prices of stainless steel also rose in Europe .;price stainless steel rise europe .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .;however , market share shrink [PERCENT] [PERCENT] earlier .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .;assignment strengthen poyry position international provider engineering project service chemical process industry .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));In 2009 , it reported net sales of approximately EUR 6mn .;[DATE] , report net sale approximately [MONEY] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The value of the confirmed aircraft orders totals EUR 2bn .;value confirmed aircraft order total [MONEY] .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));- The Group -� s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .;sale [MONEY] [MONEY] , [NUMBER] [NUMBER] / [DATE] profit tax [MONEY] .3mn .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));`` We were the lowest bidders and now the final approval is awaited . '';`` low bidder final approval await .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .;, net sale [MONEY] [DATE] , employ more [DATE] people [NUMBER] country .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .;meat atrium no longer promise sufficient amount domestic beef customer .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .;itg share deal estimate [MONEY] [MONEY] .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The contract value amounts to about EUR11m , the company added .;contract value amount [MONEY] , add .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .;editor note : grimaldi generate [NUMBER] bln eur ( [MONEY] bln ) turnover [DATE] , ansa report [DATE] [DATE] [NUMBER] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .;, city forssa say not pay compensation food industry hk ruokatalo atrium lye leak tap water occur [DATE] .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Small investors have voiced fears that the shares will end up with risk investors .;small investor voice fear share up risk investor .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));In January-September 2007 , operating profit totaled EUR 20.5 mn .;[DATE] , operate profit total [MONEY] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .;say production volume far indicate circuit capable targeted output rate [NUMBER] tonne day , 22mn tonne .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .;forest certification voluntary system aim promote sustainable forest management commercial forest .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .;turnover full fiscal expect show slight increase previous fiscal .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .;stockmann swedish sector ab lindex enter agreement [DATE] [DATE] [NUMBER] , whereby stockmann , wholly-owned subsidiary , make public tender offer lindex issue share .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .;total annual revenue come up 160mn zloty ( [MONEY] [MONEY] ) .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));- The Group -� s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .;cumulative sale review [MONEY] [MONEY] , [NUMBER] [NUMBER] / [DATE] profit tax [MONEY] .4mn .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+�meri , the Northernmost part of the Gulf of Bothnia .;swedish authority , trace toxic osmium tetroxide find coast per+ meri , northernmost gulf bothnia .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .;eb announce stock exchange release november [NUMBER] j.t. bergqvist resign chairmanship membership board eb .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .;operating profit [NUMBER] -month increase [MONEY] , net sale increase [MONEY] , compare corresponding [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Bosse added that Trygvesta does not have the financial strength to acquire the entire unit .;bosse add trygvesta not financial strength acquire entire unit .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .;raisio bid buy glisten `` win-win deal , chairman uk snack firm tell just-food [NUMBER] february .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .;incap lankapaja aim enter actual agreement transfer sheet-metal production buyer february order complete transfer [DATE] [DATE] [NUMBER] .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .;st. petersburg , oct [NUMBER] ( prime-tass ) -- tire producer nokian tyre plan invest [MONEY] expansion tire plant city vsevolozhsk russia leningrad region [DATE] , president kim gran told reporter thursday .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .;operating profit [MONEY] , compare loss [MONEY] corresponding [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .;aspocomp large factory china factory building project india halt due finance problem .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));President and CEO Mika Vehvil+�inen says the positive signs are first and foremost emerging outside Finland .;president ceo mika vehvil+ inen say positive sign foremost emerge outside .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .;pulp paper machinery maker vaahto swung [MONEY] [MONEY] net profit fiscal [DATE] [DATE] , [DATE] [DATE] [NUMBER] , [MONEY] [MONEY] net loss fiscal [DATE] [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Certain shareholders have irrevocably agreed to vote in favor of the bond issue .;certain shareholder irrevocably agree vote favor bond issue .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .;decision sell share lenenergo reach line fortum strategic plan invest mainly generate asset russia , lenenergo grid , press release say .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));`` While concerns remain longer term , size and scale may enable Nokia to hold on to its newfound margin improvements in the near term , '' the analyst wrote .;`` concern remain long term , size scale may enable hold newfound margin improvement near term , analyst write .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .;combined net sale [DATE] [MONEY] ebitda [MONEY] .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .;( filippova ) trilateral agreement investment construction technology park st petersburg sign course forum , day russian economy , open .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The agreement expands Tekla Structures ' scope of use to bridge design .;agreement expand tekla structure scope bridge design .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The optimization of the steel components heating process will reduce the energy consumption .;optimization steel component heat process reduce energy consumption .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The profit after taxes was EUR 57.7 11.1 million .;profit tax [MONEY] .1mn .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .;teliasonera say [MONEY] invest next region bring mobile coverage [PERCENT] nepal population .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees .;net sale lehdentekijat unit approximately [MONEY] [DATE] [NUMBER] employee .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .;corp tuesday say receive unified device managment contract operator elisa .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .;vanhanen say strike `` extremely damaging [NUMBER] participant reporter begin arrive [NUMBER] -day eu summit russian president vladimir putin lahti , 100kilometers ( 60miles ) north .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));The company expects its net sales for the whole 2009 to be at previous year levels .;expect net sale whole [DATE] previous level .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .;market share volkswagen passenger car [PERCENT] , audi market share [PERCENT] seat share [PERCENT] .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .;divested activity net sale [MONEY] [DATE] operating profit [MONEY] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .;[NUMBER] dark spot horizon , however , performance bottled water market .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri;adp news [DATE] [DATE] [NUMBER] business information system developer solteq : stq1v say net loss widen [MONEY] [MONEY] [DATE] [MONEY] peri;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising .;strong brand visibility nationally regionally primary importance home sale , vehicle consumer advertising .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .;swedbank share hard hit swedish bank ongoing international financial crisis .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .;`` implementation program , , negative impact [DATE] [DATE] earnings , mr meiklejohn say .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .;service fesco telling example strengthen relationship logistics operator international level .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .;`` newly form yit stavo local contact network , expertise market know eur stavokonsult combine yit housing concept , say juha kostiainen , yit vice president , communication business development .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .;aker yard begin chinese subcontractor shipyard .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .;[DATE] , net sale stand [MONEY] [NUMBER] employee .;neutral;negative
